Link, Associated  Text 
 https://post.craigslist.org/c/bos	,"post" 
 https://accounts.craigslist.org/login/home	,"account" 
 https://accounts.craigslist.org/login?rt=L&rp=%2Fsavesearch%2Fsave%3FURL%3Dhttps%253A%252F%252Fboston%252Ecraigslist%252Eorg%252Fsearch%252Faap	,"save  search" 
 https://boston.craigslist.org/nwb/nfb/d/2-bed-tewksbury-brand-new/6317224090.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/2-bed-tewksbury-brand-new/6317224090.html	,"2  Bed  Tewksbury  Brand  New  Luxury  &  Amenities-  1  Month  Free!" 
 https://boston.craigslist.org/nwb/nfb/d/2-bed-tewksbury-brand-new/6317223870.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/2-bed-tewksbury-brand-new/6317223870.html	,"2  Bed  Tewksbury  Brand  New  Luxury  &  Amenities-  1  Month  Free!" 
 https://boston.craigslist.org/gbs/fee/d/large-pet-friendly-2-bed/6317223568.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/large-pet-friendly-2-bed/6317223568.html	,"Large  Pet  Friendly  2  Bed.    Delead  Cert.  On  Site  W/D  Available  Now." 
 https://boston.craigslist.org/gbs/fee/d/restoring-credit-repairing/6317087544.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/restoring-credit-repairing/6317087544.html	,"Restoring  Credit/Repairing  Lives!" 
 https://boston.craigslist.org/sob/fee/d/25br-renovated-gleaming/6314358269.html	,"None" 
 https://boston.craigslist.org/sob/fee/d/25br-renovated-gleaming/6314358269.html	,"2.5br  Renovated  Gleaming  Hardwood  Floors" 
 https://boston.craigslist.org/gbs/fee/d/great-price-ht-hw-street/6314210279.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/great-price-ht-hw-street/6314210279.html	,"GREAT  PRICE!  HT/HW,  Street  Parking,  Photos*MBTA  B-Line*Hardwood*" 
 https://boston.craigslist.org/gbs/fee/d/xxl-15-bed-with-laundry-in/6307890416.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/xxl-15-bed-with-laundry-in/6307890416.html	,"XXL  1.5  bed  with  Laundry  in  UNIT  &  Free  parking!  Dishwasher~Hardwood" 
 https://boston.craigslist.org/gbs/fee/d/room-in-2-bed-in-house-with/6306340744.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/room-in-2-bed-in-house-with/6306340744.html	,"Room  in  2  bed  in  house  with  heat  &  hw  included~laundry`MBTA" 
 https://boston.craigslist.org/gbs/fee/d/newly-renovated-1200-sq-ft-3/6300370211.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/newly-renovated-1200-sq-ft-3/6300370211.html	,"Newly  Renovated  1200  sq  ft  3  bd~Stainless  &  Granite~Parking~Laundry  Ho" 
 https://boston.craigslist.org/gbs/fee/d/room-in-renovated-3-bed/6289891245.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/room-in-renovated-3-bed/6289891245.html	,"Room  in  Renovated  3  bed!  Parking~Dishwasher~Granite" 
 https://boston.craigslist.org/nos/fee/d/spacious-1-bedroom-heat-and/6317222648.html	,"None" 
 https://boston.craigslist.org/nos/fee/d/spacious-1-bedroom-heat-and/6317222648.html	,"SPACIOUS  1  BEDROOM/  HEAT  AND  PARKING  INC/  WHOLE  FOODS/MARKETPLACE" 
 https://boston.craigslist.org/gbs/fee/d/beautifulno-fee2-bed-luxury/6317222399.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/beautifulno-fee2-bed-luxury/6317222399.html	,"Beautiful(No  Fee)2  bed  Luxury,  Heat&hot  water,Electricity,Parking,Oct/" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317222381.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317222381.html	,"NO  FEE!  Brand  New  2  Bed,  Deleaded,  Pet  Negotiable,  Walk  to  Public  T" 
 https://boston.craigslist.org/sob/fee/d/25br-renovated-gleaming/6314359452.html	,"None" 
 https://boston.craigslist.org/sob/fee/d/25br-renovated-gleaming/6314359452.html	,"2.5br  Renovated  Gleaming  Hardwood  Floors" 
 https://boston.craigslist.org/gbs/fee/d/price-reduction-beacon-hill-1/6317215805.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/price-reduction-beacon-hill-1/6317215805.html	,"Price  Reduction!  Beacon  Hill  1  Bed  on  Myrtle  St" 
 https://boston.craigslist.org/gbs/fee/d/deluxxe-5-bedhardwood/6317221283.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/deluxxe-5-bedhardwood/6317221283.html	,"DELUXXE  5  bed~Hardwood  Floors~MBTA  E-Line~Laundry~Dishwasher" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6305160749.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6305160749.html	,"1  Bedroom  in  Modern  2  Bedroom  Apt  Near  Fenway  Park  for  Rent" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6310139332.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6310139332.html	,"1  Bedroom  in  Modern  2  Bedroom  Apt  Near  Fenway  Park  for  Rent" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6310148097.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6310148097.html	,"1  Bedroom  in  Modern  2  Bedroom  Apt  Near  Fenway  Park  for  Rent" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6310145673.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6310145673.html	,"1  Bedroom  in  Modern  2  Bedroom  Apt  Near  Fenway  Park  for  Rent" 
 https://boston.craigslist.org/gbs/nfb/d/hyde-park-3-beds-3-baths/6317212226.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/hyde-park-3-beds-3-baths/6317212226.html	,"Hyde  Park  3  beds  3  baths    Single-Family  Home" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317220832.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317220832.html	,"NO  FEE!  Brand  New  2  Bed,  Deleaded,  Pet  Negotiable,  Walk  to  Public  T" 
 https://boston.craigslist.org/gbs/fee/d/2-bedroom-central-sq-cats-ok/6317220728.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/2-bedroom-central-sq-cats-ok/6317220728.html	,"2  BEDROOM/  CENTRAL  SQ/  CATS  OK/  RED  LINE/  LMA/HARVARD  BUSINESS/MIT/B.U" 
 https://boston.craigslist.org/gbs/fee/d/central-square-2-bedhardwood/6317220561.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/central-square-2-bedhardwood/6317220561.html	,"Central  Square,  2  bed,Hardwood  floors,  Laundry.ASAP" 
 https://boston.craigslist.org/gbs/nfb/d/boston-jamaica-pondamenities/6305450415.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/boston-jamaica-pondamenities/6305450415.html	,"Boston  Jamaica  PondAmenities  -  Luxury  Unit*  1  Bed*  1  Bath*  Living  Room  *" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6317220278.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/1-bedroom-in-modern-2-bedroom/6317220278.html	,"1  Bedroom  in  Modern  2  Bedroom  Apt  Near  Fenway  Park  for  Rent" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-renovated-tufts-3br/6317219516.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-renovated-tufts-3br/6317219516.html	,"**  NO  FEE  **  Renovated  Tufts  3BR  -  BRAND  NEW  -  Pets  OK,  Parking,  9/1!" 
 https://boston.craigslist.org/gbs/fee/d/spacious-2-or-3/6317219340.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/spacious-2-or-3/6317219340.html	,"SPACIOUS  2+  OR  3  BEDROOM..MIT..HARVARD..RED  AND  GREEN  LINE..PARKING" 
 https://boston.craigslist.org/nos/nfb/d/great-2-bedroomswimming/6317218867.html	,"None" 
 https://boston.craigslist.org/nos/nfb/d/great-2-bedroomswimming/6317218867.html	,"Great  2  bedroom,swimming  pool,fitness  cent,heat  and  hot  water  included" 
 https://boston.craigslist.org/gbs/nfb/d/1-bd-no-fee-granite-counter/6317218876.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/1-bd-no-fee-granite-counter/6317218876.html	,"1  Bd,  NO  FEE,  Granite  Counter  Tops,  New/Renovated  Kitchen" 
 https://boston.craigslist.org/gbs/fee/d/amazing-central-sq-1-bed/6317218624.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/amazing-central-sq-1-bed/6317218624.html	,"Amazing  Central  sq  1  bed-Laundry-9/1" 
 https://boston.craigslist.org/gbs/nfb/d/1-bd-pet-ok-no-fee-stunning/6317218421.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/1-bd-pet-ok-no-fee-stunning/6317218421.html	,"1  Bd,  Pet  Ok,  NO  FEE  Stunning  in  Southie!  Luxury  Apartment  Home" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-granite-laundry/6310386463.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-granite-laundry/6310386463.html	,"Hardwood,  Granite,  Laundry  Onsite,  Near  Everything,  Easy  MBTA  Access" 
 https://boston.craigslist.org/gbs/fee/d/quincy-center-amenities-2-bd/6317218307.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/quincy-center-amenities-2-bd/6317218307.html	,"Quincy  -    Center  Amenities:*  2  Bd*  2  Bath*  Laundry  in  Unit*  Central  AC*" 
 https://boston.craigslist.org/gbs/fee/d/super-clean-building-and-unit/6310385156.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/super-clean-building-and-unit/6310385156.html	,"Super  Clean  Building  and  Unit,  Laundry  Onsite,  No  Undergrads" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-elevator/6310383887.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-elevator/6310383887.html	,"Modern  Upgrades,  Elevator,  Hardwood,  Alcove,  Laundry  Onsite" 
 https://boston.craigslist.org/gbs/fee/d/sparkling-cambridge-2br-2ba/6310364972.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/sparkling-cambridge-2br-2ba/6310364972.html	,"Sparkling  Cambridge  2br  2ba,  Hardwood,  Laundry  In  Unit,  Near  MBTA" 
 https://boston.craigslist.org/gbs/fee/d/brookline-longwoodamenities-3/6317217785.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/brookline-longwoodamenities-3/6317217785.html	,"Brookline  -  LongwoodAmenities:  *  3  Bed*  1  Bath*  Living  Room  *  Dining  Roo" 
 https://boston.craigslist.org/gbs/fee/d/stainless-granite-dishwasher/6304931620.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/stainless-granite-dishwasher/6304931620.html	,"Stainless,  Granite,  Dishwasher,  Laundry  In  Unit,  Near  Everything" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-laundry-in/6310361138.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-laundry-in/6310361138.html	,"Modern  Upgrades,  Laundry  In  Unit,  Steps  To  Kendall,  Easy  MBTA  Access" 
 https://boston.craigslist.org/gbs/fee/d/brookline-longwoodamenities-3/6317217334.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/brookline-longwoodamenities-3/6317217334.html	,"Brookline  -  LongwoodAmenities:  *  3  Bed*  1  Bath*  Living  Room  *  Dining  Roo" 
 https://boston.craigslist.org/gbs/nfb/d/2-bd-pet-ok-no-fee-parking/6317217251.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/2-bd-pet-ok-no-fee-parking/6317217251.html	,"2  Bd,  Pet  Ok,  NO  FEE,  Parking  For  Rent" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-dishwasher-laundry/6310356995.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-dishwasher-laundry/6310356995.html	,"Hardwood,  Dishwasher,  Laundry  In  Unit,  Steps  To  Kendall  Square" 
 https://boston.craigslist.org/gbs/fee/d/stainless-appliances/6310331213.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/stainless-appliances/6310331213.html	,"Stainless  Appliances,  Dishwasher,  Laundry  In  Unit,  Easy  MBTA  Access" 
 https://boston.craigslist.org/gbs/fee/d/coolidge-corner-2-bed/6317217036.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/coolidge-corner-2-bed/6317217036.html	,"Coolidge  Corner  2  BED/  Renovated-  Nov/  1  with  woodfloor,  eik,  laundry" 
 https://boston.craigslist.org/gbs/abo/d/large-studio-on-trolley-with/6303614971.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/large-studio-on-trolley-with/6303614971.html	,"LARGE  STUDIO  on  TROLLEY  with  Heat  and  Hot  water  included  AVAIL  NOW" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216917.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216917.html	,"1  Bed  Tewksbury  Brand  New  Luxury  Location/  Amenities/  1  Month  Free" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216736.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216736.html	,"1  Bed  Tewksbury  Brand  New  Luxury  Location/  Amenities/  1  Month  Free" 
 https://boston.craigslist.org/gbs/fee/d/all-the-modern-updates-youre/6310329926.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/all-the-modern-updates-youre/6310329926.html	,"All  The  Modern  Updates  You're  Looking  For  Without  The  Crazy  Price  Tag" 
 https://boston.craigslist.org/gbs/nfb/d/hyde-park-3-beds-2-baths/6317200672.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/hyde-park-3-beds-2-baths/6317200672.html	,"Hyde  Park  3  beds  2  baths  Single-Family  Home" 
 https://boston.craigslist.org/gbs/fee/d/2-bd-on-hurley-st-2-bath/6310352943.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/2-bd-on-hurley-st-2-bath/6310352943.html	,"2  Bd  on  Hurley  St.,  2  Bath,  Central  Air,  Deck,  Microwave,  Living  Room" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216531.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216531.html	,"1  Bed  Tewksbury  Brand  New  Luxury  Location/  Amenities/  1  Month  Free" 
 https://boston.craigslist.org/gbs/fee/d/modern-telegraph-hill-4/6310324905.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/modern-telegraph-hill-4/6310324905.html	,"Modern  Telegraph  Hill  4  Bedroom  For  A  Steal!" 
 https://boston.craigslist.org/gbs/fee/d/fresh-renovations-convenient/6303273391.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/fresh-renovations-convenient/6303273391.html	,"Fresh  Renovations,  Convenient  Location,  Off-Street  Parking  Included!" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317216332.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-brand-new-2-bed/6317216332.html	,"NO  FEE!  Brand  New  2  Bed,  Deleaded,  Pet  Negotiable,  Walk  to  Public  T" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216304.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216304.html	,"1  Bed  Tewksbury  Brand  New  Luxury  Location/  Amenities/  1  Month  Free" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-floors-dishwasher/6310328023.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/hardwood-floors-dishwasher/6310328023.html	,"Hardwood  Floors,  Dishwasher,  Disposal,  Laundry  In  Unit" 
 https://boston.craigslist.org/gbs/nfb/d/east-boston-luxury-2-bd-pet/6317216142.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/east-boston-luxury-2-bd-pet/6317216142.html	,"East  Boston  Luxury  2  Bd,  Pet  Ok,  2  Bath,  NO  FEE" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216063.html	,"None" 
 https://boston.craigslist.org/nwb/nfb/d/1-bed-tewksbury-brand-new/6317216063.html	,"1  Bed  Tewksbury  Brand  New  Luxury  Location/  Amenities/  1  Month  Free" 
 https://boston.craigslist.org/gbs/abo/d/sunny-4-bedroom-or-3-br-den/6317216018.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/sunny-4-bedroom-or-3-br-den/6317216018.html	,"SUNNY  4  bedroom  or  3  br  w/  den" 
 https://boston.craigslist.org/gbs/fee/d/no-broker-fee-beacon-hill-2/6317215997.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/no-broker-fee-beacon-hill-2/6317215997.html	,"No  Broker  Fee  -  Beacon  Hill  2  Bed  with  Renovated  Kitchen" 
 https://boston.craigslist.org/gbs/fee/d/sparkling-2-bed-in-convenient/6303255104.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/sparkling-2-bed-in-convenient/6303255104.html	,"Sparkling  2  bed  In  Convenient  Neighborhood  w/  Modern  Updates!" 
 https://boston.craigslist.org/gbs/fee/d/super-clean-centrally-located/6278844175.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/super-clean-centrally-located/6278844175.html	,"Super  Clean,  Centrally  Located,  Dishwasher,  Disposal,  Laundry  Onsite" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-dishwasher/6295239558.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/modern-upgrades-dishwasher/6295239558.html	,"Modern  Upgrades,  Dishwasher,  Laundry  Onsite,  Private  Balcony" 
 https://boston.craigslist.org/gbs/fee/d/spacious-1-bed-on-beacon-st/6317215717.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/spacious-1-bed-on-beacon-st/6317215717.html	,"Spacious  1  Bed  on  Beacon  St  with  Laundry" 
 https://boston.craigslist.org/gbs/abo/d/are-you-currently/6317156363.html	,"None" 
 https://boston.craigslist.org/gbs/abo/d/are-you-currently/6317156363.html	,"ARE  YOU  CURRENTLY  EXPERIENCING  LANDLORD  PROBLEMS?" 
 https://boston.craigslist.org/gbs/fee/d/spacious-2-or-3/6317215587.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/spacious-2-or-3/6317215587.html	,"SPACIOUS  2+  OR  3  BEDROOM..MIT..HARVARD..RED  AND  GREEN  LINE..PARKING" 
 https://boston.craigslist.org/gbs/fee/d/coolidge-corner-2-bed/6317215517.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/coolidge-corner-2-bed/6317215517.html	,"Coolidge  Corner  2  BED/  Renovated-  Nov/  1  with  woodfloor,  eik,  laundry" 
 https://boston.craigslist.org/gbs/nfb/d/top-floor-3br-hardwood/6278862792.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/top-floor-3br-hardwood/6278862792.html	,"Top  Floor  3br,  Hardwood,  Dishwasher,  Laundry  Onsite,  Near  Everything!" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-hardwood-granite/6283061614.html	,"None" 
 https://boston.craigslist.org/gbs/nfb/d/no-fee-hardwood-granite/6283061614.html	,".::NO  FEE::.  Hardwood,  Granite,  Stainless,  Central  Air,  Fitness  Center" 
 https://boston.craigslist.org/gbs/fee/d/luxurious-midtown-1br-all-of/6295435931.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/luxurious-midtown-1br-all-of/6295435931.html	,"Luxurious  Midtown  1br  w/  All  Of  The  Modern  Upgrades  You're  Looking  For" 
 https://boston.craigslist.org/gbs/fee/d/3-bedroom-porter-sq-pets-ok/6317215131.html	,"None" 
 https://boston.craigslist.org/gbs/fee/d/3-bedroom-porter-sq-pets-ok/6317215131.html	,"3  BEDROOM/PORTER  SQ/PETS  OK/DELEADED/REDLINE" 
